Entity,Code,Year,Period life expectancy at birth
India,IND,1901,23.486
India,IND,1905,23.98
India,IND,1911,23.146
India,IND,1915,24.02
India,IND,1921,24.858
India,IND,1925,27.61
India,IND,1931,29.314
India,IND,1935,30.95
India,IND,1941,32.593
India,IND,1950,41.1815
India,IND,1951,41.5954
India,IND,1952,42.0866
India,IND,1953,42.3863
India,IND,1954,43.2483
India,IND,1955,43.7399
India,IND,1956,44.133
India,IND,1957,44.4145
India,IND,1958,44.7776
India,IND,1959,45.2602
India,IND,1960,45.6104
India,IND,1961,45.8244
India,IND,1962,46.1335
India,IND,1963,46.4581
India,IND,1964,46.7418
India,IND,1965,45.5579
India,IND,1966,45.8839
India,IND,1967,46.1835
India,IND,1968,47.9249
India,IND,1969,48.2601
India,IND,1970,48.5852
India,IND,1971,48.9023
India,IND,1972,49.2126
India,IND,1973,49.6418
India,IND,1974,50.2589
India,IND,1975,50.7615
India,IND,1976,51.3019
India,IND,1977,51.8221
India,IND,1978,52.4204
India,IND,1979,53.0143
India,IND,1980,53.5928
India,IND,1981,54.1726
India,IND,1982,54.7354
India,IND,1983,55.2829
India,IND,1984,55.8125
India,IND,1985,56.3239
India,IND,1986,56.8193
India,IND,1987,57.2908
India,IND,1988,57.7443
India,IND,1989,58.1959
India,IND,1990,58.6184
India,IND,1991,59.0324
India,IND,1992,59.445
India,IND,1993,59.823
India,IND,1994,60.2372
India,IND,1995,60.6295
India,IND,1996,61.0269
India,IND,1997,61.4393
India,IND,1998,61.8525
India,IND,1999,62.2837
India,IND,2000,62.7492
India,IND,2001,63.1581
India,IND,2002,63.6486
India,IND,2003,64.0862
India,IND,2004,64.4843
India,IND,2005,64.9385
India,IND,2006,65.3726
India,IND,2007,65.8034
India,IND,2008,66.2471
India,IND,2009,66.7001
India,IND,2010,67.1616
India,IND,2011,67.6228
India,IND,2012,68.0763
India,IND,2013,68.499
India,IND,2014,68.9323
India,IND,2015,69.326
India,IND,2016,69.7091
India,IND,2017,70.0676
India,IND,2018,70.4152
India,IND,2019,70.7463
India,IND,2020,70.1563
India,IND,2021,67.2823
India,IND,2022,71.6984
India,IND,2023,72.0026
Pakistan,PAK,1921,20.132
Pakistan,PAK,1931,26.754
Pakistan,PAK,1941,31.758
Pakistan,PAK,1950,34.2475
Pakistan,PAK,1951,35.3814
Pakistan,PAK,1952,36.4967
Pakistan,PAK,1953,37.5958
Pakistan,PAK,1954,38.6043
Pakistan,PAK,1955,39.6108
Pakistan,PAK,1956,40.6171
Pakistan,PAK,1957,41.5542
Pakistan,PAK,1958,42.465
Pakistan,PAK,1959,43.3254
Pakistan,PAK,1960,44.1013
Pakistan,PAK,1961,44.9558
Pakistan,PAK,1962,45.85
Pakistan,PAK,1963,46.7605
Pakistan,PAK,1964,47.831
Pakistan,PAK,1965,48.4954
Pakistan,PAK,1966,49.7973
Pakistan,PAK,1967,50.7631
Pakistan,PAK,1968,51.6235
Pakistan,PAK,1969,52.3161
Pakistan,PAK,1970,52.9434
Pakistan,PAK,1971,49.0016
Pakistan,PAK,1972,53.8239
Pakistan,PAK,1973,54.0895
Pakistan,PAK,1974,54.2663
Pakistan,PAK,1975,54.7219
Pakistan,PAK,1976,55.0687
Pakistan,PAK,1977,55.4821
Pakistan,PAK,1978,56.072
Pakistan,PAK,1979,56.6142
Pakistan,PAK,1980,57.1985
Pakistan,PAK,1981,57.7639
Pakistan,PAK,1982,58.2913
Pakistan,PAK,1983,58.6626
Pakistan,PAK,1984,58.9209
Pakistan,PAK,1985,59.0752
Pakistan,PAK,1986,59.1666
Pakistan,PAK,1987,59.222
Pakistan,PAK,1988,59.3598
Pakistan,PAK,1989,59.5283
Pakistan,PAK,1990,59.7282
Pakistan,PAK,1991,59.8638
Pakistan,PAK,1992,59.9826
Pakistan,PAK,1993,60.0829
Pakistan,PAK,1994,60.1968
Pakistan,PAK,1995,60.2735
Pakistan,PAK,1996,60.4659
Pakistan,PAK,1997,60.6234
Pakistan,PAK,1998,61.1338
Pakistan,PAK,1999,61.5396
Pakistan,PAK,2000,61.9029
Pakistan,PAK,2001,62.2406
Pakistan,PAK,2002,62.5561
Pakistan,PAK,2003,62.8343
Pakistan,PAK,2004,63.0972
Pakistan,PAK,2005,62.4163
Pakistan,PAK,2006,63.6235
Pakistan,PAK,2007,63.8075
Pakistan,PAK,2008,64.0021
Pakistan,PAK,2009,64.2059
Pakistan,PAK,2010,64.3784
Pakistan,PAK,2011,64.6588
Pakistan,PAK,2012,64.8834
Pakistan,PAK,2013,65.1285
Pakistan,PAK,2014,65.374
Pakistan,PAK,2015,65.6406
Pakistan,PAK,2016,65.9434
Pakistan,PAK,2017,66.2233
Pakistan,PAK,2018,66.4807
Pakistan,PAK,2019,66.7288
Pakistan,PAK,2020,65.7015
Pakistan,PAK,2021,65.7731
Pakistan,PAK,2022,67.4167
Pakistan,PAK,2023,67.649
